Provinsi,Perkotaan,Perdesaan,Perkotaan+Perdesaan,Tahun
PAPUA PEGUNUNGAN,,-,,2014
PAPUA PEGUNUNGAN,,-,,2015
PAPUA PEGUNUNGAN,,-,,2016
PAPUA PEGUNUNGAN,,-,,2017
PAPUA PEGUNUNGAN,,-,,2018
PAPUA PEGUNUNGAN,,-,,2019
PAPUA PEGUNUNGAN,,-,,2020
PAPUA PEGUNUNGAN,,-,,2021
PAPUA PEGUNUNGAN,,-,,2022
PAPUA PEGUNUNGAN,,-,,2023
PAPUA PEGUNUNGAN,65.48,27.89,30.64,2024
PAPUA PEGUNUNGAN,88.47,27.56,32.89,2025
PAPUA SELATAN,,-,,2010
PAPUA SELATAN,,-,,2011
PAPUA SELATAN,,-,,2012
PAPUA SELATAN,,-,,2013
PAPUA SELATAN,,-,,2014
PAPUA SELATAN,,-,,2015
PAPUA SELATAN,,-,,2016
PAPUA SELATAN,,-,,2017
PAPUA SELATAN,,-,,2018
PAPUA SELATAN,,-,,2019
PAPUA SELATAN,,-,,2020
PAPUA SELATAN,,-,,2021
PAPUA SELATAN,,-,,2022
PAPUA SELATAN,,-,,2023
PAPUA SELATAN,74.21,70.61,71.9,2024
PAPUA SELATAN,83.03,64.28,71.28,2025
PAPUA TENGAH,,-,,2010
PAPUA TENGAH,,-,,2011
PAPUA TENGAH,,-,,2012
PAPUA TENGAH,,-,,2013
PAPUA TENGAH,,-,,2014
PAPUA TENGAH,,-,,2015
PAPUA TENGAH,,-,,2016
PAPUA TENGAH,,-,,2017
PAPUA TENGAH,,-,,2018
PAPUA TENGAH,,-,,2019
PAPUA TENGAH,,-,,2020
PAPUA TENGAH,,-,,2021
PAPUA TENGAH,,-,,2022
PAPUA TENGAH,,-,,2023
PAPUA TENGAH,93.95,77.95,81.53,2024
PAPUA TENGAH,96.29,79.41,83.21,2025
RIAU,29.05,46.96,40.01,2010
RIAU,82.53,57.46,67.1,2011
RIAU,85.07,61.2,70.44,2012
RIAU,85.51,65.45,73.17,2013
RIAU,86.03,63.88,72.55,2014
RIAU,85.83,66.86,74.24,2015
RIAU,89.77,66.47,75.49,2016
RIAU,85.65,68.3,75.12,2017
RIAU,89.96,72.73,79.68,2018
RIAU,95.61,81.8,87.42,2019
RIAU,95.78,83.24,88.25,2020
RIAU,96.21,85.45,89.76,2021
RIAU,94.47,87.13,90.07,2022
RIAU,95.69,86.97,90.47,2023
RIAU,97.08,89.06,92.24,2024
RIAU,96.35,89.42,92.17,2025
SULAWESI BARAT,55.96,32.12,37.44,2010
SULAWESI BARAT,75.22,31.66,41.04,2011
SULAWESI BARAT,75.43,36.69,45.14,2012
SULAWESI BARAT,76.28,39.24,47.27,2013
SULAWESI BARAT,77.8,38.46,47.07,2014
SULAWESI BARAT,83.62,46.95,53.89,2015
SULAWESI BARAT,83.18,53.17,58.99,2016
SULAWESI BARAT,81.31,55.61,60.66,2017
SULAWESI BARAT,81.65,57.31,62.98,2018
SULAWESI BARAT,91.61,65.47,71.5,2019
SULAWESI BARAT,89.7,67.71,72.75,2020
SULAWESI BARAT,93.34,74.66,78.35,2021
SULAWESI BARAT,96.26,74.77,78.98,2022
SULAWESI BARAT,92.91,76.42,79.86,2023
SULAWESI BARAT,94.04,76.76,80.14,2024
SULAWESI BARAT,95.09,80.06,83,2025
SULAWESI SELATAN,49.04,42.92,45.12,2010
SULAWESI SELATAN,84.47,49.33,61.98,2011
SULAWESI SELATAN,86.3,54.38,65.94,2012
SULAWESI SELATAN,86.65,55.91,66.95,2013
SULAWESI SELATAN,88.74,57.43,68.89,2014
SULAWESI SELATAN,90.65,61.48,72.07,2015
SULAWESI SELATAN,90.65,63.27,73.42,2016
SULAWESI SELATAN,90.82,67.24,76.34,2017
SULAWESI SELATAN,90.38,69.51,77.93,2018
SULAWESI SELATAN,96.21,84.31,89.38,2019
SULAWESI SELATAN,96.82,86.46,90.84,2020
SULAWESI SELATAN,97.08,86.55,91.18,2021
SULAWESI SELATAN,95.76,88.65,91.96,2022
SULAWESI SELATAN,96.55,88.31,92.12,2023
SULAWESI SELATAN,95.7,89.15,92.23,2024
